PRESS O O2 H2O OH CO CH4 CH3 C2H6 NO NO2 H2S SO SO2 OCS O3 N2O
1.692E-03 1.817E-08 2.100E-01 3.208E-06 1.850E-10 1.284E-08 2.977E-07 3.500E-17 2.533E-21 6.931E-09 1.533E-09 4.023E-32 3.947E-19 1.918E-15 1.354E-27 8.762E-06 1.834E-08
1.582E-03 2.222E-08 2.100E-01 3.223E-06 2.085E-10 1.308E-08 2.897E-07 4.251E-17 3.029E-21 6.854E-09 1.275E-09 4.686E-32 4.024E-19 1.783E-15 7.428E-28 8.500E-06 1.693E-08
1.480E-03 2.703E-08 2.100E-01 3.237E-06 2.332E-10 1.334E-08 2.821E-07 5.108E-17 3.604E-21 6.752E-09 1.047E-09 5.527E-32 4.136E-19 1.666E-15 4.018E-28 8.196E-06 1.564E-08
1.384E-03 3.270E-08 2.100E-01 3.249E-06 2.587E-10 1.362E-08 2.752E-07 6.091E-17 4.262E-21 6.626E-09 8.519E-10 6.577E-32 4.271E-19 1.566E-15 2.150E-28 7.858E-06 1.447E-08
1.295E-03 3.924E-08 2.100E-01 3.261E-06 2.845E-10 1.393E-08 2.686E-07 7.166E-17 5.014E-21 6.476E-09 6.864E-10 7.895E-32 4.450E-19 1.479E-15 1.137E-28 7.498E-06 1.341E-08
1.211E-03 4.674E-08 2.100E-01 3.271E-06 3.101E-10 1.428E-08 2.625E-07 8.351E-17 5.873E-21 6.300E-09 5.494E-10 9.515E-32 4.653E-19 1.403E-15 5.919E-29 7.119E-06 1.242E-08
1.133E-03 5.513E-08 2.100E-01 3.279E-06 3.350E-10 1.466E-08 2.568E-07 9.596E-17 6.837E-21 6.106E-09 4.375E-10 1.152E-31 4.908E-19 1.336E-15 3.043E-29 6.737E-06 1.152E-08
1.060E-03 6.455E-08 2.100E-01 3.287E-06 3.592E-10 1.508E-08 2.516E-07 1.095E-16 7.892E-21 5.902E-09 3.481E-10 1.391E-31 5.197E-19 1.279E-15 1.563E-29 6.359E-06 1.070E-08
9.913E-04 7.488E-08 2.100E-01 3.293E-06 3.823E-10 1.553E-08 2.468E-07 1.234E-16 9.034E-21 5.691E-09 2.769E-10 1.680E-31 5.548E-19 1.231E-15 8.048E-30 5.993E-06 9.967E-09
9.271E-04 8.624E-08 2.100E-01 3.298E-06 4.045E-10 1.602E-08 2.425E-07 1.383E-16 1.027E-20 5.476E-09 2.207E-10 2.018E-31 5.938E-19 1.189E-15 4.145E-30 5.639E-06 9.297E-09
8.670E-04 9.849E-08 2.100E-01 3.302E-06 4.256E-10 1.655E-08 2.385E-07 1.536E-16 1.160E-20 5.258E-09 1.762E-10 2.417E-31 6.392E-19 1.152E-15 2.138E-30 5.301E-06 8.685E-09
8.107E-04 1.118E-07 2.100E-01 3.304E-06 4.461E-10 1.712E-08 2.349E-07 1.698E-16 1.301E-20 5.040E-09 1.411E-10 2.878E-31 6.894E-19 1.120E-15 1.107E-30 4.980E-06 8.125E-09
7.580E-04 1.259E-07 2.100E-01 3.306E-06 4.660E-10 1.774E-08 2.316E-07 1.861E-16 1.449E-20 4.824E-09 1.134E-10 3.418E-31 7.480E-19 1.092E-15 5.786E-31 4.679E-06 7.614E-09
7.085E-04 1.410E-07 2.100E-01 3.306E-06 4.859E-10 1.839E-08 2.287E-07 2.035E-16 1.602E-20 4.614E-09 9.152E-11 4.044E-31 8.130E-19 1.068E-15 3.075E-31 4.396E-06 7.148E-09
6.622E-04 1.569E-07 2.100E-01 3.306E-06 5.058E-10 1.909E-08 2.260E-07 2.206E-16 1.758E-20 4.410E-09 7.410E-11 4.792E-31 8.906E-19 1.047E-15 1.678E-31 4.133E-06 6.724E-09
6.188E-04 1.737E-07 2.100E-01 3.305E-06 5.266E-10 1.982E-08 2.236E-07 2.385E-16 1.916E-20 4.212E-09 6.027E-11 5.679E-31 9.771E-19 1.029E-15 9.527E-32 3.886E-06 6.336E-09
5.780E-04 1.911E-07 2.100E-01 3.303E-06 5.482E-10 2.060E-08 2.214E-07 2.557E-16 2.075E-20 4.021E-09 4.916E-11 6.772E-31 1.081E-18 1.013E-15 5.748E-32 3.656E-06 5.981E-09
5.398E-04 2.091E-07 2.100E-01 3.300E-06 5.714E-10 2.142E-08 2.194E-07 2.735E-16 2.233E-20 3.838E-09 4.028E-11 8.113E-31 1.199E-18 9.994E-16 3.780E-32 3.437E-06 5.654E-09
5.040E-04 2.274E-07 2.100E-01 3.296E-06 5.964E-10 2.230E-08 2.177E-07 2.901E-16 2.387E-20 3.661E-09 3.311E-11 9.822E-31 1.341E-18 9.872E-16 2.771E-32 3.232E-06 5.354E-09
4.704E-04 2.460E-07 2.100E-01 3.292E-06 6.239E-10 2.322E-08 2.161E-07 3.069E-16 2.538E-20 3.492E-09 2.733E-11 1.200E-30 1.505E-18 9.763E-16 2.278E-32 3.036E-06 5.077E-09
4.388E-04 2.644E-07 2.100E-01 3.286E-06 6.540E-10 2.420E-08 2.146E-07 3.220E-16 2.682E-20 3.330E-09 2.265E-11 1.486E-30 1.702E-18 9.667E-16 2.072E-32 2.849E-06 4.821E-09
4.092E-04 2.827E-07 2.100E-01 3.280E-06 6.875E-10 2.525E-08 2.134E-07 3.367E-16 2.820E-20 3.176E-09 1.886E-11 1.862E-30 1.934E-18 9.582E-16 2.031E-32 2.670E-06 4.585E-09
3.814E-04 3.004E-07 2.100E-01 3.274E-06 7.244E-10 2.638E-08 2.122E-07 3.496E-16 2.949E-20 3.030E-09 1.578E-11 2.369E-30 2.214E-18 9.506E-16 2.094E-32 2.499E-06 4.366E-09
3.553E-04 3.176E-07 2.100E-01 3.267E-06 7.653E-10 2.758E-08 2.112E-07 3.614E-16 3.070E-20 2.891E-09 1.329E-11 3.053E-30 2.547E-18 9.438E-16 2.226E-32 2.334E-06 4.163E-09
3.308E-04 3.340E-07 2.100E-01 3.259E-06 8.103E-10 2.889E-08 2.102E-07 3.714E-16 3.182E-20 2.760E-09 1.126E-11 3.989E-30 2.953E-18 9.376E-16 2.411E-32 2.178E-06 3.974E-09
3.078E-04 3.496E-07 2.100E-01 3.250E-06 8.597E-10 3.030E-08 2.094E-07 3.800E-16 3.286E-20 2.637E-09 9.610E-12 5.274E-30 3.442E-18 9.321E-16 2.640E-32 2.029E-06 3.798E-09
2.862E-04 3.645E-07 2.100E-01 3.241E-06 9.137E-10 3.183E-08 2.087E-07 3.870E-16 3.381E-20 2.521E-09 8.270E-12 7.049E-30 4.037E-18 9.270E-16 2.908E-32 1.888E-06 3.635E-09
2.659E-04 3.787E-07 2.100E-01 3.231E-06 9.723E-10 3.350E-08 2.080E-07 3.927E-16 3.468E-20 2.413E-09 7.181E-12 9.502E-30 4.762E-18 9.223E-16 3.213E-32 1.756E-06 3.482E-09
2.469E-04 3.926E-07 2.100E-01 3.221E-06 1.036E-09 3.533E-08 2.074E-07 3.970E-16 3.548E-20 2.312E-09 6.296E-12 1.289E-29 5.647E-18 9.179E-16 3.553E-32 1.632E-06 3.340E-09
2.290E-04 4.062E-07 2.100E-01 3.210E-06 1.104E-09 3.734E-08 2.069E-07 4.003E-16 3.621E-20 2.219E-09 5.576E-12 1.757E-29 6.728E-18 9.137E-16 3.925E-32 1.518E-06 3.207E-09
