PRESS N2 O2 O3 H2O CH4 N2O CO2 CO
7.594E-05 0.89998917199925 1.107E-07 7.217E-13 1.042E-05 1.469E-07 2.846E-14 0.1 1.504E-07
6.975E-05 0.899989285999225 1.146E-07 7.468E-13 1.029E-05 1.467E-07 2.836E-14 0.1 1.627E-07
6.404E-05 0.899989408699196 1.186E-07 7.758E-13 1.015E-05 1.465E-07 2.831E-14 0.1 1.762E-07
5.877E-05 0.899989529799163 1.228E-07 8.09E-13 1.001E-05 1.463E-07 2.831E-14 0.1 1.911E-07
5.391E-05 0.899989655599129 1.271E-07 8.422E-13 9.864E-06 1.46E-07 2.834E-14 0.1 2.073E-07
4.943E-05 0.899989784499097 1.316E-07 8.75E-13 9.713E-06 1.458E-07 2.84E-14 0.1 2.251E-07
4.531E-05 0.89998991839906 1.363E-07 9.119E-13 9.555E-06 1.456E-07 2.849E-14 0.1 2.447E-07
4.152E-05 0.899990055099018 1.413E-07 9.531E-13 9.392E-06 1.454E-07 2.86E-14 0.1 2.662E-07
3.804E-05 0.899990195398972 1.467E-07 9.99E-13 9.223E-06 1.452E-07 2.875E-14 0.1 2.897E-07
3.485E-05 0.899990338098921 1.526E-07 1.05E-12 9.049E-06 1.449E-07 2.893E-14 0.1 3.154E-07
3.192E-05 0.899990483598865 1.591E-07 1.106E-12 8.869E-06 1.447E-07 2.914E-14 0.1 3.436E-07
2.924E-05 0.899990629698801 1.665E-07 1.17E-12 8.685E-06 1.444E-07 2.938E-14 0.1 3.744E-07
2.679E-05 0.899990777398727 1.754E-07 1.243E-12 8.495E-06 1.441E-07 2.966E-14 0.1 4.081E-07
2.455E-05 0.899990924498635 1.867E-07 1.335E-12 8.3E-06 1.439E-07 3E-14 0.1 4.449E-07
2.251E-05 0.899991067298503 2.031E-07 1.466E-12 8.101E-06 1.436E-07 3.045E-14 0.1 4.85E-07
2.064E-05 0.899991199798283 2.303E-07 1.686E-12 7.898E-06 1.432E-07 3.115E-14 0.1 5.287E-07
1.894E-05 0.899991310197861 2.807E-07 2.107E-12 7.69E-06 1.429E-07 3.235E-14 0.1 5.762E-07
1.74E-05 0.899991371196987 3.803E-07 2.978E-12 7.478E-06 1.426E-07 3.458E-14 0.1 6.279E-07
1.599E-05 0.899991330695105 5.803E-07 4.856E-12 7.263E-06 1.422E-07 3.877E-14 0.1 6.838E-07
1.47E-05 0.89999109339101 9.774E-07 8.943E-12 7.043E-06 1.418E-07 4.659E-14 0.1 7.444E-07
1.353E-05 0.899990482182619 1.749E-06 1.732E-11 6.817E-06 1.414E-07 6.098E-14 0.1 8.104E-07
1.247E-05 0.899989190565323 3.201E-06 3.459E-11 6.585E-06 1.409E-07 8.687E-14 0.1 8.825E-07
1.15E-05 0.899986731231489 5.822E-06 6.838E-11 6.345E-06 1.404E-07 1.315E-13 0.1 9.613E-07
1.061E-05 0.899982372969196 1.034E-05 1.306E-10 6.1E-06 1.399E-07 2.039E-13 0.1 1.047E-06
9.8E-06 0.899975100461891 1.777E-05 2.378E-10 5.85E-06 1.393E-07 3.088E-13 0.1 1.14E-06
9.059E-06 0.899963552888266 2.947E-05 4.113E-10 5.598E-06 1.387E-07 4.342E-13 0.1 1.24E-06
8.381E-06 0.899946055323654 4.711E-05 6.758E-10 5.347E-06 1.38E-07 5.456E-13 0.1 1.349E-06
7.759E-06 0.899920639740375 7.266E-05 1.059E-09 5.097E-06 1.372E-07 6.254E-13 0.1 1.465E-06
7.189E-06 0.899885021010297 0.0001084 1.589E-09 4.851E-06 1.364E-07 7.033E-13 0.1 1.59E-06
6.665E-06 0.89983682710218 0.0001567 2.297E-09 4.611E-06 1.356E-07 8.197E-13 0.1 1.724E-06
6.183E-06 0.899773218183995 0.0002204 3.215E-09 4.377E-06 1.346E-07 1.005E-12 0.1 1.867E-06
5.739E-06 0.899691490017717 0.0003022 4.381E-09 4.152E-06 1.336E-07 1.283E-12 0.1 2.02E-06
5.33E-06 0.899588643660324 0.0004051 5.838E-09 3.934E-06 1.325E-07 1.676E-12 0.1 2.184E-06
4.952E-06 0.899461476059796 0.0005323 7.638E-09 3.725E-06 1.313E-07 2.204E-12 0.1 2.36E-06
4.603E-06 0.899306787154118 0.000687 9.843E-09 3.525E-06 1.3E-07 2.882E-12 0.1 2.548E-06
4.28E-06 0.899121176866277 0.0008726 1.253E-08 3.333E-06 1.286E-07 3.723E-12 0.1 2.749E-06
3.982E-06 0.898900744095268 0.001093 1.58E-08 3.149E-06 1.271E-07 4.732E-12 0.1 2.964E-06
3.705E-06 0.898643686734089 0.00135 1.976E-08 2.973E-06 1.255E-07 5.911E-12 0.1 3.195E-06
3.448E-06 0.898343604732745 0.00165 2.456E-08 2.805E-06 1.237E-07 7.255E-12 0.1 3.442E-06
3.209E-06 0.897998495831244 0.001995 3.036E-08 2.644E-06 1.218E-07 8.756E-12 0.1 3.708E-06
2.988E-06 0.8976033588396 0.00239 3.735E-08 2.49E-06 1.198E-07 1.04E-11 0.1 3.994E-06
2.783E-06 0.89715519271782 0.002838 4.577E-08 2.343E-06 1.175E-07 1.218E-11 0.1 4.301E-06
2.592E-06 0.89664899589594 0.003344 5.589E-08 2.202E-06 1.152E-07 1.406E-11 0.1 4.631E-06
2.414E-06 0.89608176737397 0.003911 6.801E-08 2.067E-06 1.126E-07 1.603E-11 0.1 4.985E-06
2.249E-06 0.89544850268194 0.004544 8.25E-08 1.938E-06 1.098E-07 1.806E-11 0.1 5.367E-06
2.095E-06 0.89474720031986 0.005245 9.976E-08 1.814E-06 1.069E-07 2.014E-11 0.1 5.779E-06
1.951E-06 0.89397485497778 0.006017 1.202E-07 1.695E-06 1.038E-07 2.222E-11 0.1 6.226E-06
1.818E-06 0.89313045317572 0.006861 1.444E-07 1.582E-06 1.004E-07 2.428E-11 0.1 6.72E-06
1.694E-06 0.8922139712737 0.007777 1.728E-07 1.473E-06 9.69E-08 2.63E-11 0.1 7.286E-06
1.578E-06 0.89122935375178 0.008761 2.06E-07 1.37E-06 9.322E-08 2.822E-11 0.1 7.977E-06
